source,target,distance,duration,pm
3,105,1962,1511,80.3006708206
4,27,432,337,71.1402668045
4,165,556,401,43.5423933819
4,139,704,543,78.33771847850001
4,257,659,511,67.0741025388
4,150,792,578,76.7812260557
4,65,903,711,79.7640361795
4,260,814,621,69.987682799
4,41,1088,830,67.5753996258
4,100,965,746,54.5192404776
4,194,1188,921,67.2482267802
4,66,994,774,62.377271960600005
4,287,1225,960,76.2765884656
4,280,1281,1056,73.1846690552
4,92,1734,1351,77.1766881104
4,271,1314,994,74.14765543899999
4,30,1264,947,80.85567106149999
4,131,1356,1104,84.8564642506
4,32,1328,1028,65.3059061944
4,52,1447,1106,64.7828728511
5,272,405,337,48.07760091390001
5,195,485,340,55.4870826708
5,120,972,800,72.0930478377
5,326,850,719,67.2092026481
5,133,907,697,61.452211193000004
5,67,705,572,71.3257727816
5,308,868,730,83.8734698308
5,244,974,694,73.9788415564
5,0,957,795,63.027657875
5,268,1013,836,67.269211196
5,263,972,778,75.9255085876
5,96,1220,914,83.7300167686
5,149,1414,1145,81.7813531621
5,186,955,790,87.8359656847
5,309,1096,920,61.6608872979
5,248,1329,995,61.4663473971
5,174,1246,945,66.4031129784
5,40,1208,945,75.8165504817
5,213,1622,1185,49.9237763459
6,281,409,276,72.5318286267
6,315,746,620,79.9585255857
6,89,792,556,61.3296155598
6,102,652,521,94.93728557040001
6,98,564,388,70.6516892842
6,250,752,541,59.4316808904
6,26,622,555,77.2854769087
6,335,1154,881,70.5791503184
6,57,1156,818,79.7970072921
6,180,1168,889,75.6398021621
6,245,1201,903,51.386661895100005
6,86,1291,907,67.8222755921
6,87,1305,990,95.77306695530001
6,10,1105,936,68.5036702937
6,275,1219,1003,73.46672758369999
6,77,1640,1203,62.728582805100004
6,69,1580,1114,89.81978876790001
6,137,2003,1475,91.9293145192
6,266,1719,1273,74.9648619104
7,75,381,277,73.7024580651
7,259,353,294,73.7665396324
7,346,563,449,69.3739588173
7,63,441,308,77.0884917602
7,97,573,410,56.8320623285
7,198,460,349,89.7953549309
7,85,560,415,74.5192949252
7,146,639,453,75.3200530245
7,168,779,651,68.8737698393
7,232,804,569,82.9287572766
7,62,964,698,92.94150523489999
7,228,709,507,66.635230758
7,325,998,829,64.669227351
7,179,854,712,73.3533865479
7,167,1065,807,75.1291291517
7,32,1178,842,65.3059061944
7,255,984,811,62.698390911400004
7,121,930,697,52.7749660718
7,17,1290,1078,67.9958824949
8,78,482,338,68.670324345
8,298,584,430,84.1459358039
8,191,628,436,79.4434469327
8,48,528,405,85.5014569162
8,207,735,539,67.8991732946
8,275,664,488,73.46672758369999
8,136,1001,719,63.590768697200005
8,104,1289,901,77.4033087035
8,10,1063,802,68.5036702937
8,219,1515,1090,86.88339652110001
8,320,1281,911,72.9389813864
8,245,1215,838,51.386661895100005
8,59,1470,1017,86.9113598225
8,267,1733,1255,67.5158540742
8,122,1914,1315,64.462857676
8,186,1469,1068,87.8359656847
8,266,1542,1081,74.9648619104
8,26,1234,905,77.2854769087
8,200,1666,1197,73.6288779035
9,235,592,472,80.4685940834
9,83,685,479,76.31658127680001
9,108,921,662,79.4089913448
9,205,1022,765,75.9494451633
9,217,1324,959,60.296474374700004
9,76,1839,1352,93.6568443297
9,265,1710,1236,55.601103425699996
9,337,2217,1615,60.251589968000005
9,229,1900,1421,73.3096244056
9,14,2141,1584,76.777572239
9,90,2432,1791,73.878624965
9,21,2709,2034,88.2752636484
9,303,2430,1850,66.6600238788
9,171,2756,2064,58.4221086701
9,223,2618,1952,80.0680664021
9,305,2845,2104,76.0527870076
9,23,2986,2224,86.9757323843
9,124,3060,2279,85.2104830656
9,92,2992,2186,77.1766881104
10,275,423,299,73.46672758369999
10,26,480,328,77.2854769087
10,87,880,637,95.77306695530001
10,136,788,565,63.590768697200005
10,16,1034,733,66.8975586539
10,315,867,600,79.9585255857
10,245,1032,689,51.386661895100005
10,78,992,724,68.670324345
10,57,1226,856,79.7970072921
10,267,1308,949,67.5158540742
10,8,1063,794,58.8756459072
10,281,1153,845,72.5318286267
10,298,1348,988,84.1459358039
10,69,1577,1084,89.81978876790001
10,6,1105,767,79.56075235770001
10,59,1404,1000,86.9113598225
10,72,1678,1168,58.2540208372
10,191,1373,1005,79.4434469327
10,335,1711,1197,70.5791503184
11,289,400,302,77.23967801100001
11,116,594,490,68.9461574578
11,15,522,374,82.66253574779999
11,55,538,456,71.0529137571
11,82,769,630,73.57972019600001
11,105,789,613,80.3006708206
11,301,872,685,71.1340580299
11,124,1022,764,85.2104830656
11,84,1326,1015,68.175690578
11,253,1186,930,78.0665201707
11,209,1193,904,81.20876843479999
11,3,1327,958,80.3057668322
11,24,1557,1191,85.7473585269
11,135,1373,1046,83.2225262497
11,223,1556,1157,80.0680664021
11,177,1332,1001,82.8829616046
11,171,1509,1127,58.4221086701
11,20,1785,1365,69.1429609991
