source,target,distance,duration,pm
215,167,1075,816,75.1291291517
216,74,360,272,75.3109547828
216,312,637,505,75.1399918203
216,323,652,543,72.1587172494
216,307,526,409,73.9549985055
216,222,888,705,66.37464485859999
216,294,881,682,70.9168956959
216,128,1112,860,63.5558973763
216,297,887,690,62.9668989318
216,68,877,680,64.209227948
217,83,638,513,76.31658127680001
217,108,603,491,79.4089913448
217,265,595,436,55.601103425699996
217,337,995,745,60.25158996800001
217,14,1007,762,76.777572239
217,9,1325,1070,71.54948504069999
217,76,1037,811,93.6568443297
217,21,1464,1123,88.2752636484
217,205,1149,940,75.9494451633
218,197,765,576,69.5661934046
218,226,830,577,67.95204228850001
218,247,563,433,84.185027625
218,134,692,493,67.074923526
218,81,764,607,69.18588285770001
218,39,922,706,70.7502212608
218,282,1055,712,65.9800547207
218,225,1725,1300,72.3210036551
218,143,1635,1222,77.0316701149
219,298,931,776,84.1459358039
219,266,751,540,74.9648619104
219,130,834,685,79.4480830286
219,48,1113,941,85.5014569162
219,8,1515,1255,58.8756459072
219,245,1267,968,51.38666189510001
219,285,1328,965,56.675571910600006
219,275,1634,1309,73.46672758369998
219,335,1209,937,70.5791503184
220,305,420,321,76.0527870076
220,127,677,539,85.4892212167
220,345,794,623,60.9452905171
220,271,1001,730,74.14765543899999
220,92,741,518,77.1766881104
220,21,1013,787,88.2752636484
220,23,977,759,86.9757323843
220,14,992,743,76.777572239
220,291,1204,909,82.4871563716
221,277,492,400,81.78722889689999
221,64,577,422,76.4300580715
221,54,882,690,57.4199192507
221,278,663,493,68.9933087846
221,185,829,606,57.863476116499996
221,238,1101,854,75.8402680207
221,58,841,631,71.9299716552
221,125,950,738,78.4134348602
221,241,1309,965,60.021995610699996
222,322,503,392,62.051770852
222,323,537,416,72.1587172494
222,294,509,357,70.9168956959
222,28,908,691,76.4428413975
222,216,889,628,74.9393993009
222,74,887,625,75.3109547828
222,240,959,780,57.088533131999995
222,113,1411,1092,85.507360565
222,310,871,663,80.6914290024
223,303,511,420,66.6600238788
223,49,562,487,62.1752820128
223,90,1216,867,73.878624965
223,289,1172,850,77.23967801100001
223,76,942,662,93.6568443297
223,124,1281,932,85.2104830656
223,15,1627,1200,82.66253574779999
223,11,1556,1160,61.66656297390001
223,171,1612,1183,58.4221086701
224,68,533,392,64.209227948
224,343,656,516,78.9897554476
224,297,895,678,62.9668989318
224,189,1244,912,98.6161597459
224,103,1176,907,82.6864804786
224,128,913,690,63.5558973763
224,307,884,661,73.9549985055
224,331,1531,1122,64.0516170237
224,94,1142,889,84.4929743875
225,197,970,767,69.5661934046
225,81,1376,1092,69.18588285770001
225,231,829,657,82.0451668365
225,145,1808,1444,73.0198705199
225,39,1765,1403,70.7502212608
225,109,1366,1100,61.7030344539
225,132,1234,985,69.1875356347
225,247,1859,1460,84.185027625
225,319,1628,1244,65.854832127
226,218,830,677,70.8090481686
226,134,744,594,67.074923526
226,197,634,503,69.5661934046
226,282,818,596,65.9800547207
226,264,840,634,70.0731934033
226,247,1215,974,84.185027625
226,81,1092,884,69.18588285770001
226,246,1269,935,89.0083571717
226,132,1713,1425,69.1875356347
227,178,573,464,62.6730520085
227,156,606,449,86.85620474219999
227,284,910,761,63.417705751199996
227,117,1232,997,81.5101077422
227,246,1443,1124,89.0083571717
227,283,1645,1318,60.528156464700004
227,170,1428,1188,75.6830011052
227,91,1849,1369,67.9098923457
227,134,1990,1540,67.074923526
228,232,376,278,82.9287572766
228,63,410,311,77.0884917602
228,146,568,424,75.3200530245
228,97,520,394,56.8320623285
228,262,742,542,76.4636465651
228,7,709,554,83.1785942079
228,53,928,677,62.7583762459
228,254,1071,796,66.6649921522
228,334,1093,813,65.7226614057
229,37,902,642,48.3707316667
229,164,879,577,65.5982412424
229,321,1058,718,49.5888810612
229,44,1957,1357,91.3705713807
229,83,1692,1230,76.31658127680001
229,347,3944,2832,80.5187830018
229,265,2536,1851,55.601103425699996
229,9,1901,1418,71.54948504069999
229,217,2299,1709,60.296474374700004
230,252,403,297,56.9405175212
230,299,531,413,66.710135421
230,332,1022,736,67.6554981801
230,151,834,608,67.51764459479999
230,253,959,708,78.0665201707
230,111,1402,1011,70.93111600659999
230,177,1588,1169,82.8829616046
230,204,1230,875,74.58484241859999
230,256,1582,1140,60.39695892859999
231,118,458,354,77.6481734864
231,166,643,527,77.7476749914
231,319,888,672,65.854832127
231,109,1093,855,61.7030344539
231,225,829,618,72.3210036551
231,309,1129,898,61.6608872979
231,145,1535,1199,73.0198705199
231,268,1295,990,67.269211196
231,0,1391,1067,63.027657875
232,97,337,258,56.8320623285
232,228,376,278,66.635230758
232,63,662,490,77.0884917602
232,53,617,442,62.7583762459
